"ID","Age","Sex","hemisphere","stg_mtg","weight","species"
"sub3013",28,"M","R","stg",170899.2806,"human"
"sub3014",27,"F","R","stg",431430.6652,"human"
"sub3017",31,"F","R","stg",180522.8967,"human"
"sub3021",28,"M","R","stg",278280.6005,"human"
"sub3024",28,"M","R","stg",256324.1966,"human"
"sub3026",29,"M","R","stg",264220.4969,"human"
"sub3027",27,"M","R","stg",49129.92456,"human"
"sub3034",29,"M","R","stg",426799.4676,"human"
"sub3035",30,"M","R","stg",201620.4651,"human"
"sub3037",29,"M","R","stg",197050,"human"
"sub3042",27,"M","R","stg",219652.1265,"human"
"sub4001",27,"F","R","stg",605777.6097,"human"
"sub4002",27,"F","R","stg",74140.80834,"human"
"sub3001",31,"M","L","mtg",1573065.431,"human"
"sub3003",33,"F","L","mtg",1022110.977,"human"
"sub3004",33,"M","L","mtg",2377912.033,"human"
"sub3006",30,"F","L","mtg",2158076.36,"human"
"sub3010",29,"F","L","mtg",1876335.92,"human"
"sub3011",30,"M","L","mtg",1464043.933,"human"
"sub3012",28,"F","L","mtg",1723186.263,"human"
"sub3013",28,"M","L","mtg",1250933.555,"human"
"sub3014",27,"F","L","mtg",2030382.086,"human"
"sub3017",31,"F","L","mtg",1719262.87,"human"
"sub3021",28,"M","L","mtg",1780937.947,"human"
"sub3024",28,"M","L","mtg",2051570.485,"human"
"sub3026",29,"M","L","mtg",2386604.899,"human"
"sub3027",27,"M","L","mtg",1361416.094,"human"
"sub3034",29,"M","L","mtg",1274280.603,"human"
"sub3035",30,"M","L","mtg",1364644.809,"human"
"sub3037",29,"M","L","mtg",843849.3292,"human"
"sub3042",27,"M","L","mtg",1878126.368,"human"
"sub4001",27,"F","L","mtg",2948220.382,"human"
"sub4002",27,"F","L","mtg",1386507.446,"human"
"sub3001",31,"M","R","mtg",730403.4378,"human"
"sub3003",33,"F","R","mtg",397987.1795,"human"
"sub3004",33,"M","R","mtg",954694.5392,"human"
"sub3006",30,"F","R","mtg",323776.7094,"human"
"sub3010",29,"F","R","mtg",666639.6064,"human"
"sub3011",30,"M","R","mtg",1305053.115,"human"
"sub3012",28,"F","R","mtg",737523.6364,"human"
"sub3013",28,"M","R","mtg",1502372.902,"human"
"sub3014",27,"F","R","mtg",717642.6156,"human"
"sub3017",31,"F","R","mtg",436766.7732,"human"
"sub3021",28,"M","R","mtg",454478.06,"human"
"sub3024",28,"M","R","mtg",360324.1966,"human"
"sub3026",29,"M","R","mtg",1495199.793,"human"
"sub3027",27,"M","R","mtg",307845.767,"human"
"sub3034",29,"M","R","mtg",231679.6806,"human"
"sub3035",30,"M","R","mtg",422659.5349,"human"
"sub3037",29,"M","R","mtg",430966.1017,"human"
"sub3042",27,"M","R","mtg",408298.8004,"human"
"sub4001",27,"F","R","mtg",1320278.366,"human"
"sub4002",27,"F","R","mtg",643470.6649,"human"
